packet_id,timestamp,src_ip,dst_ip,protocol_name,length,sport,dport,is_tls,protocol,has_payload,anomaly,anomaly_score
1,1499428779.599128,70:6e:6d:1d:bb:04,01:00:0c:cc:cc:cc,802.3,457,0,0,0,0,1,1,0.022461353267165696
2,1499428783.01833,70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,802.3,458,0,0,0,0,1,1,0.019921054584774778
3,1499428785.79848,70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,802.3,457,0,0,0,0,1,1,0.022461353267165696
4,1499428786.231251,70:6e:6d:1d:bb:05,01:00:0c:cc:cc:cc,802.3,457,0,0,0,0,1,1,0.022461353267165696
5,1499428788.398911,70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,802.3,458,0,0,0,0,1,1,0.019921054584774778
6,1499428790.315195,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,56108,3268,0,6,1,-1,-0.018131027405830835
7,1499428790.3152,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,56108,3268,0,6,1,-1,-0.018131027405830835
8,1499428790.315459,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,138,3268,56108,0,6,1,-1,-0.017020072263734143
9,1499428790.315463,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,138,3268,56108,0,6,1,-1,-0.017020072263734143
10,1499428790.315541,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,56108,3268,0,6,1,1,0.01957838789880828
11,1499428790.315545,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,56108,3268,0,6,1,1,0.01957838789880828
12,1499428790.316273,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,42144,389,0,6,1,1,0.05196582118541293
13,1499428790.316277,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,42144,389,0,6,1,1,0.05196582118541293
14,1499428790.316526,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,382,389,42144,0,6,1,1,0.07572930991723326
15,1499428790.316531,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,382,389,42144,0,6,1,1,0.07572930991723326
16,1499428790.316556,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,42144,389,0,6,1,1,0.09911841786709247
17,1499428790.316558,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,42144,389,0,6,1,1,0.09911841786709247
18,1499428790.63997,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
19,1499428790.639981,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
20,1499428790.639983,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
21,1499428790.639985,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
22,1499428790.639987,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
23,1499428790.639989,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
24,1499428790.639991,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
25,1499428790.639993,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
26,1499428790.639995,b8:ac:6f:36:08:f5,33:33:00:01:00:02,Ethernet,165,546,547,0,0,1,1,0.05692648002494849
27,1499428794.000133,70:6e:6d:1d:bb:03,01:00:0c:cc:cc:cc,802.3,457,0,0,0,0,1,1,0.022461353267165696
28,1499428806.713936,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,56108,3268,0,6,1,-1,-0.018131027405830835
29,1499428806.713941,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,56108,3268,0,6,1,-1,-0.018131027405830835
30,1499428806.714219,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,138,3268,56108,0,6,1,-1,-0.017020072263734143
31,1499428806.714223,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,138,3268,56108,0,6,1,-1,-0.017020072263734143
32,1499428806.714298,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,56108,3268,0,6,1,1,0.01957838789880828
33,1499428806.714302,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,56108,3268,0,6,1,1,0.01957838789880828
34,1499428806.714889,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,42144,389,0,6,1,1,0.05196582118541293
35,1499428806.714893,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,469,42144,389,0,6,1,1,0.05196582118541293
36,1499428806.715155,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,382,389,42144,0,6,1,1,0.07572930991723326
37,1499428806.715159,18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,Ethernet,382,389,42144,0,6,1,1,0.07572930991723326
38,1499428806.715216,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,42144,389,0,6,1,1,0.09911841786709247
39,1499428806.715219,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,Ethernet,66,42144,389,0,6,1,1,0.09911841786709247
40,1499428810.188949,70:6e:6d:1d:bb:0f,01:00:0c:cc:cc:cc,802.3,458,0,0,0,0,1,1,0.019921054584774778
