length,sport,dport,is_tls,anomaly
74,38713,443,0,1
74,443,38713,0,1
66,38713,443,0,1
171,38713,443,0,1
66,443,38713,0,1
995,443,38713,0,1
66,38713,443,0,1
278,38713,443,0,1
141,443,38713,0,1
66,38713,443,0,1
503,38713,443,0,1
66,443,38713,0,1
103,443,38713,0,1
183,38713,443,0,1
66,443,38713,0,1
1073,443,38713,0,1
337,38713,443,0,-1
172,443,38713,0,1
5756,443,38713,0,-1
66,38713,443,0,1
471,38713,443,0,1
74,38714,443,0,-1
74,443,38714,0,1
66,38714,443,0,1
186,38714,443,0,-1
66,443,38714,0,1
220,443,38714,0,1
66,38714,443,0,1
562,38714,443,0,-1
596,443,38714,0,1
471,38714,443,0,1
1828,443,38714,0,-1
66,443,38713,0,1
66,38714,443,0,1
588,443,38713,0,1
439,38714,443,0,1
580,443,38714,0,1
66,38714,443,0,1
66,38713,443,0,1
511,38713,443,0,1
66,443,38713,0,1
644,443,38713,0,1
66,38713,443,0,1
511,38714,443,0,1
468,443,38714,0,1
66,38714,443,0,1
511,38713,443,0,1
836,443,38713,0,1
66,38713,443,0,1
479,38713,443,0,1
479,38714,443,0,1
652,443,38713,0,1
66,38713,443,0,1
588,443,38714,0,1
66,38714,443,0,1
511,38713,443,0,1
580,443,38713,0,1
66,38713,443,0,1
